match	team	th_skew	pr_skew	pool	r	username	pos	net_worth	kda	ruined	carried	mmr	delta
2025-06-03T00:36:00.000+03:00	RAD	42%	30%	53	L	mugiwara	4	13175	2/14/21	38%	15%	397 -> 376	-20
2025-06-03T00:36:00.000+03:00	RAD	42%	30%	53	L	toyota	3	17424	4/10/18	19%	16%	524 -> 514	-10
2025-06-03T00:36:00.000+03:00	RAD	42%	30%	53	L	palec	5	12166	3/11/18	30%	17%	-1 -> -17	-16
2025-06-03T00:36:00.000+03:00	RAD	42%	30%	53	L	starlight	2	26307	7/10/22	10%	20%	932 -> 926	-5
2025-06-03T00:36:00.000+03:00	RAD	42%	30%	53	L	bnc	1	37307	18/3/9	1%	30%	811 -> 810	0
2025-06-03T00:36:00.000+03:00	DIR	42%	30%	53	W	imba	3	36806	11/6/25	6%	21%	765 -> 776	+11
2025-06-03T00:36:00.000+03:00	DIR	42%	30%	53	W	kebab	4	15110	3/12/22	57%	12%	222 -> 229	+6
2025-06-03T00:36:00.000+03:00	DIR	42%	30%	53	W	fishscale	2	35215	16/3/18	3%	25%	1116 -> 1130	+13
2025-06-03T00:36:00.000+03:00	DIR	42%	30%	53	W	gantz	1	30808	12/5/26	6%	21%	866 -> 877	+11
2025-06-03T00:36:00.000+03:00	DIR	42%	30%	53	W	pizza	5	17159	6/9/28	25%	18%	241 -> 251	+9
2025-06-02T23:16:00.000+03:00	RAD	36%	47%	52	L	albert	2	21371	13/5/15	5%	24%	570 -> 568	-2
2025-06-02T23:16:00.000+03:00	RAD	36%	47%	52	L	katokan	1	17781	2/8/13	26%	9%	479 -> 465	-13
2025-06-02T23:16:00.000+03:00	RAD	36%	47%	52	L	kebab	5	8359	2/12/21	48%	15%	248 -> 222	-25
2025-06-02T23:16:00.000+03:00	RAD	36%	47%	52	L	toyota	3	22198	12/4/17	3%	26%	526 -> 524	-1
2025-06-02T23:16:00.000+03:00	RAD	36%	47%	52	L	mugiwara	4	12550	8/9/26	16%	23%	405 -> 397	-8
2025-06-02T23:16:00.000+03:00	DIR	36%	47%	52	W	gantz	1	27859	9/2/11	2%	21%	854 -> 866	+11
2025-06-02T23:16:00.000+03:00	DIR	36%	47%	52	W	pizza	4	10273	1/8/17	43%	14%	233 -> 241	+7
2025-06-02T23:16:00.000+03:00	DIR	36%	47%	52	W	bnc	3	23043	13/7/12	10%	23%	798 -> 811	+12
2025-06-02T23:16:00.000+03:00	DIR	36%	47%	52	W	starlight	2	22810	8/9/22	14%	21%	920 -> 932	+11
2025-06-02T23:16:00.000+03:00	DIR	36%	47%	52	W	palec	5	16539	5/11/18	28%	18%	-11 -> -1	+9
2025-06-02T22:06:00.000+03:00	DIR	47%	1758%	100	L	gantz	1	10523	3/5/3	9%	14%	864 -> 854	-9
2025-06-02T22:06:00.000+03:00	DIR	47%	1758%	100	L	smile	2	10110	3/5/4	7%	18%	769 -> 761	-7
2025-06-02T22:06:00.000+03:00	DIR	47%	1758%	100	L	mugiwara	4	4546	3/13/6	38%	21%	444 -> 405	-38
2025-06-02T22:06:00.000+03:00	DIR	47%	1758%	100	L	toyota	3	10453	3/4/7	4%	26%	531 -> 526	-4
2025-06-02T22:06:00.000+03:00	DIR	47%	1758%	100	L	juwilie	5	4318	1/11/5	39%	19%	465 -> 425	-39
2025-06-02T22:06:00.000+03:00	RAD	47%	1758%	100	W	albert	2	17916	19/2/4	5%	29%	541 -> 570	+29
2025-06-02T22:06:00.000+03:00	RAD	47%	1758%	100	W	katokan	5	8518	5/3/12	26%	18%	460 -> 479	+18
2025-06-02T22:06:00.000+03:00	RAD	47%	1758%	100	W	bnc	1	19480	6/2/8	10%	14%	784 -> 798	+14
2025-06-02T22:06:00.000+03:00	RAD	47%	1758%	100	W	starlight	3	12253	4/4/17	27%	17%	903 -> 920	+17
2025-06-02T22:06:00.000+03:00	RAD	47%	1758%	100	W	poopy	4	7058	3/3/21	29%	20%	285 -> 305	+20
2025-06-02T21:08:00.000+03:00	DIR	53%	125%	59	L	mugiwara	5	13805	7/8/14	12%	23%	451 -> 444	-7
2025-06-02T21:08:00.000+03:00	DIR	53%	125%	59	L	gantz	1	25609	10/9/11	8%	20%	869 -> 864	-5
2025-06-02T21:08:00.000+03:00	DIR	53%	125%	59	L	kebab	5	10596	6/12/15	26%	21%	264 -> 248	-15
2025-06-02T21:08:00.000+03:00	DIR	53%	125%	59	L	juwilie	4	9944	2/13/14	44%	14%	491 -> 465	-26
2025-06-02T21:08:00.000+03:00	DIR	53%	125%	59	L	katokan	2	20910	5/6/16	7%	19%	465 -> 460	-4
2025-06-02T21:08:00.000+03:00	RAD	53%	125%	59	W	poopy	3	24885	13/5/17	9%	24%	270 -> 285	+14
2025-06-02T21:08:00.000+03:00	RAD	53%	125%	59	W	bnc	1	31640	15/7/10	13%	19%	773 -> 784	+11
2025-06-02T21:08:00.000+03:00	RAD	53%	125%	59	W	toyota	4	13457	8/10/18	47%	18%	520 -> 531	+10
2025-06-02T21:08:00.000+03:00	RAD	53%	125%	59	W	pizza	5	12875	4/6/30	23%	22%	220 -> 233	+13
2025-06-02T21:08:00.000+03:00	RAD	53%	125%	59	W	smile	2	32051	7/3/10	6%	15%	760 -> 769	+9
2025-05-31T01:43:00.000+03:00	DIR	45%	118%	60	L	fishscale	2	17528	8/10/12	14%	21%	1125 -> 1116	-8
2025-05-31T01:43:00.000+03:00	DIR	45%	118%	60	L	bnc	1	23090	10/7/13	6%	25%	776 -> 773	-3
2025-05-31T01:43:00.000+03:00	DIR	45%	118%	60	L	kebab	5	8111	2/11/14	39%	18%	288 -> 264	-23
2025-05-31T01:43:00.000+03:00	DIR	45%	118%	60	L	toyota	3	19730	9/13/12	15%	22%	529 -> 520	-9
2025-05-31T01:43:00.000+03:00	DIR	45%	118%	60	L	katokan	2	19264	2/11/11	24%	12%	479 -> 465	-14
2025-05-31T01:43:00.000+03:00	RAD	45%	118%	60	W	imba	4	17132	1/9/31	37%	13%	757 -> 765	+8
2025-05-31T01:43:00.000+03:00	RAD	45%	118%	60	W	pizza	5	14902	4/8/25	35%	14%	211 -> 220	+8
2025-05-31T01:43:00.000+03:00	RAD	45%	118%	60	W	smile	2	41472	23/1/24	0%	37%	737 -> 760	+22
2025-05-31T01:43:00.000+03:00	RAD	45%	118%	60	W	jumays	3	28492	10/5/29	8%	20%	501 -> 513	+12
2025-05-31T01:43:00.000+03:00	RAD	45%	118%	60	W	gantz	1	35898	14/9/13	17%	14%	861 -> 869	+8
2025-05-31T00:32:00.000+03:00	DIR	56%	312%	70	L	pizza	5	5934	1/14/13	49%	19%	246 -> 211	-34
2025-05-31T00:32:00.000+03:00	DIR	56%	312%	70	L	jumays	3	13370	2/6/12	9%	19%	508 -> 501	-6
2025-05-31T00:32:00.000+03:00	DIR	56%	312%	70	L	gantz	1	17810	8/5/6	4%	22%	864 -> 861	-3
2025-05-31T00:32:00.000+03:00	DIR	56%	312%	70	L	bnc	2	13509	6/6/9	7%	22%	782 -> 776	-5
2025-05-31T00:32:00.000+03:00	DIR	56%	312%	70	L	toyota	4	7945	2/9/7	28%	15%	549 -> 529	-20
2025-05-31T00:32:00.000+03:00	RAD	56%	312%	70	W	fishscale	1	21609	11/3/12	8%	18%	1112 -> 1125	+13
2025-05-31T00:32:00.000+03:00	RAD	56%	312%	70	W	smile	2	23652	9/1/17	1%	25%	720 -> 737	+17
2025-05-31T00:32:00.000+03:00	RAD	56%	312%	70	W	katokan	5	13750	10/6/15	24%	20%	465 -> 479	+14
2025-05-31T00:32:00.000+03:00	RAD	56%	312%	70	W	kebab	4	9660	1/6/22	48%	14%	278 -> 288	+10
2025-05-31T00:32:00.000+03:00	RAD	56%	312%	70	W	imba	3	12549	8/4/22	16%	21%	742 -> 757	+15
2025-05-30T23:25:00.000+03:00	RAD	41%	1%	94	L	poopy	4	6690	2/12/5	34%	23%	303 -> 270	-32
2025-05-30T23:25:00.000+03:00	RAD	41%	1%	94	L	katokan	3	17307	1/8/5	10%	19%	475 -> 465	-9
2025-05-30T23:25:00.000+03:00	RAD	41%	1%	94	L	gantz	1	19742	3/8/4	10%	17%	874 -> 864	-9
2025-05-30T23:25:00.000+03:00	RAD	41%	1%	94	L	bnc	2	23778	1/4/6	3%	20%	785 -> 782	-3
2025-05-30T23:25:00.000+03:00	RAD	41%	1%	94	L	pizza	5	5109	0/9/3	41%	18%	285 -> 246	-38
2025-05-30T23:25:00.000+03:00	DIR	41%	1%	94	W	fishscale	1	37061	21/0/12	0%	32%	1081 -> 1112	+30
2025-05-30T23:25:00.000+03:00	DIR	41%	1%	94	W	imba	4	14811	4/3/14	46%	13%	729 -> 742	+12
2025-05-30T23:25:00.000+03:00	DIR	41%	1%	94	W	kebab	5	12912	0/2/15	39%	12%	266 -> 278	+11
2025-05-30T23:25:00.000+03:00	DIR	41%	1%	94	W	toyota	3	24989	7/2/15	14%	17%	533 -> 549	+16
2025-05-30T23:25:00.000+03:00	DIR	41%	1%	94	W	smile	2	34725	9/0/20	0%	24%	697 -> 720	+22
2025-05-30T22:12:00.000+03:00	RAD	55%	39%	53	L	katokan	3	18256	2/6/19	11%	19%	481 -> 475	-6
2025-05-30T22:12:00.000+03:00	RAD	55%	39%	53	L	toyota	5	9385	6/8/6	32%	18%	550 -> 533	-17
2025-05-30T22:12:00.000+03:00	RAD	55%	39%	53	L	fishscale	2	18242	7/7/7	15%	16%	1090 -> 1081	-8
