player_id,net_worth,kill,death,assist,match_id,is_radiant,pos,hero_id
8,19076,10,7,9,17,false,2,1
9,12959,4,8,25,17,true,5,2
1,11514,4,11,14,17,false,4,3
2,7931,3,12,8,17,false,5,4
3,24430,5,7,8,17,false,1,5
4,17693,5,5,13,17,false,3,6
5,20951,12,7,19,17,true,3,7
6,27202,16,4,16,17,true,2,8
7,26465,7,1,17,17,true,1,9
10,14433,2,7,23,17,true,4,10
12,8188,2,5,7,1,true,4,11
7,17657,8,5,3,1,true,1,12
13,12117,4,8,8,1,true,2,13
1,6924,3,12,5,1,true,5,14
11,7127,0,10,9,1,true,3,15
14,13240,8,6,25,1,false,4,16
3,25267,5,2,14,1,false,1,17
2,9188,0,5,17,1,false,5,18
4,23471,19,4,11,1,false,3,6
10,18844,8,2,20,1,false,2,19
